id,gearType,comment,IMR name,NVS label,NVS URI
7c331c68-bfe1-11ec-9d64-0242ac120002,Swim net (200 um),,,,
7c331e02-bfe1-11ec-9d64-0242ac120002,Syringe,,,,
7c33217c-bfe1-11ec-9d64-0242ac120002,Thermosalinograph,,,,
7c3323e8-bfe1-11ec-9d64-0242ac120002,Topas40,Seismic echo sounder,,,
7c332654-bfe1-11ec-9d64-0242ac120002,TS probe,Echo Sounder,TS probe,,
7c332866-bfe1-11ec-9d64-0242ac120002,Tube,For sucking up water (from for instance a melt pond,,,
7c332c30-bfe1-11ec-9d64-0242ac120002,USV,Unmanned surface vehicle,,,
7c332d84-bfe1-11ec-9d64-0242ac120002,Vertical microstructure profiler,,,,
7c332f0a-bfe1-11ec-9d64-0242ac120002,Wave recorder,,,,
7c333554-bfe1-11ec-9d64-0242ac120002,Weather station,,,,
7c333734-bfe1-11ec-9d64-0242ac120002,WP2 180 um,,,,
7c333900-bfe1-11ec-9d64-0242ac120002,WP2 64 um,,,,
7c333a86-bfe1-11ec-9d64-0242ac120002,WP2 56 um,,,,
7c33403a-bfe1-11ec-9d64-0242ac120002,WP2 90 um,,,,
7c334238-bfe1-11ec-9d64-0242ac120002,WP3 1000 um,,,,
